folder,file_name,bad_sample,start_s,end_s,start_s2,end_s2,start_s3,end_s3
hammer curl,Hammer curl_13.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
hammer curl,Hammer curl_14.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
hammer curl,Hammer curl_2.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
hammer curl,Hammer curl_3.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
hammer curl,Hammer curl_4.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
hammer curl,Hammer curl_5.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
hammer curl,Hammer curl_6.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
hammer curl,Hammer curl_7.mp4,2,0,10,-9999,-9999,-9999,-9999
hammer curl,Hammer curl_8.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
hammer curl,Hammer curl_9.mp4,2,0,10,-9999,-9999,-9999,-9999
hip thrust,Hip thrust_0.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
hip thrust,Hip thrust_1.mp4,2,0,9,-9999,-9999,-9999,-9999
hip thrust,Hip thrust_10.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
hip thrust,Hip thrust_11.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
hip thrust,Hip thrust_12.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
hip thrust,Hip thrust_13.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
hip thrust,Hip thrust_2.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
hip thrust,Hip thrust_3.mp4,2,0,22,-9999,-9999,-9999,-9999
hip thrust,Hip thrust_4.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
hip thrust,Hip thrust_5.mp4,2,5,-1,-9999,-9999,-9999,-9999
hip thrust,Hip thrust_6.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
hip thrust,Hip thrust_7.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
hip thrust,Hip thrust_8.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
hip thrust,Hip thrust_9.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
incline bench press,Incline bench press_0.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
incline bench press,Incline bench press_1.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
incline bench press,Incline bench press_10.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
incline bench press,Incline bench press_11.mp4,2,1,12,-9999,-9999,-9999,-9999
incline bench press,Incline bench press_2.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
incline bench press,Incline bench press_3.mp4,2,15,35,-9999,-9999,-9999,-9999
incline bench press,Incline bench press_4.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
incline bench press,Incline bench press_5.mp4,2,0,14,-9999,-9999,-9999,-9999
incline bench press,Incline bench press_6.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
incline bench press,Incline bench press_7.mp4,2,1,11,-9999,-9999,-9999,-9999
incline bench press,Incline bench press_8.mp4,2,1,11,-9999,-9999,-9999,-9999
incline bench press,Incline bench press_9.mp4,2,2,29,-9999,-9999,-9999,-9999
lat pulldown,Lat pulldown_0.mp4,2,1,11,-9999,-9999,-9999,-9999
lat pulldown,Lat pulldown_1.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
lat pulldown,Lat pulldown_10.mp4,2,4,34,-9999,-9999,-9999,-9999
lat pulldown,Lat pulldown_11.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
lat pulldown,Lat pulldown_12.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
lat pulldown,Lat pulldown_13.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
lat pulldown,Lat pulldown_2.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
lat pulldown,Lat pulldown_3.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
lat pulldown,Lat pulldown_4.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
lat pulldown,Lat pulldown_5.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
lat pulldown,Lat pulldown_6.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
lat pulldown,Lat pulldown_7.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
lat pulldown,Lat pulldown_8.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
lat pulldown,Lat pulldown_9.mp4,2,10,27,-9999,-9999,-9999,-9999
lateral raise,Lateral raise_0.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
lateral raise,Lateral raise_1.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
lateral raise,Lateral raise_10.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
lateral raise,Lateral raise_11.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
lateral raise,Lateral raise_2.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
lateral raise,Lateral raise_3.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
lateral raise,Lateral raise_4.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
lateral raise,Lateral raise_5.mp4,2,3,-1,-9999,-9999,-9999,-9999
lateral raise,Lateral raise_6.mp4,2,3,-1,-9999,-9999,-9999,-9999
lateral raise,Lateral raise_7.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
lateral raise,Lateral raise_8.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
lateral raise,Lateral raise_9.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
leg extension,leg extension_0.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
leg extension,leg extension_1.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
leg extension,leg extension_10.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
leg extension,leg extension_11.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
leg extension,leg extension_2.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
leg extension,leg extension_3.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
leg extension,leg extension_4.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
leg extension,leg extension_5.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
leg extension,leg extension_6.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
leg extension,leg extension_7.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
leg extension,leg extension_8.mp4,1,-9999,-9999,-9999,-9999,-9999,-9999
leg extension,leg extension_9.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
leg raises,leg raises_0.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
leg raises,leg raises_1.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
leg raises,leg raises_10.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
leg raises,leg raises_2.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
leg raises,leg raises_3.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
leg raises,leg raises_4.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
leg raises,leg raises_5.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
leg raises,leg raises_6.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
leg raises,leg raises_7.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
leg raises,leg raises_8.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
leg raises,leg raises_9.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
plank,plank_0.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
plank,plank_1.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
plank,plank_10.mp4,2,0,18,-9999,-9999,-9999,-9999
plank,plank_2.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
plank,plank_3.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
plank,plank_4.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
plank,plank_5.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
plank,plank_6.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
plank,plank_7.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
plank,plank_8.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
plank,plank_9.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
pull Up,pull Up_0.mp4,2,3,-1,-9999,-9999,-9999,-9999
pull Up,pull Up_1.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
pull Up,pull Up_2.mp4,2,2,48,-9999,-9999,-9999,-9999
pull Up,pull Up_3.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
pull Up,pull Up_4.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
pull Up,pull Up_5.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
pull Up,pull Up_6.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
pull Up,pull Up_7.mp4,2,3,11,-9999,-9999,-9999,-9999
pull Up,pull Up_8.mp4,2,5,-1,-9999,-9999,-9999,-9999
pull Up,pull Up_9.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
push-up,push-up_0.mp4,2,4,-1,-9999,-9999,-9999,-9999
push-up,push-up_1.mp4,2,8,39,-9999,-9999,-9999,-9999
push-up,push-up_2.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
push-up,push-up_3.mp4,2,6,65,-9999,-9999,-9999,-9999
push-up,push-up_4.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
push-up,push-up_5.mp4,2,3,34,-9999,-9999,-9999,-9999
push-up,push-up_6.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
push-up,push-up_7.mp4,2,9,40,-9999,-9999,-9999,-9999
push-up,push-up_8.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
push-up,push-up_9.mp4,2,6,-1,-9999,-9999,-9999,-9999
romanian deadlift,romanian deadlift_0.mp4,2,0,27,-9999,-9999,-9999,-9999
romanian deadlift,romanian deadlift_1.mp4,2,50,80,-9999,-9999,-9999,-9999
romanian deadlift,romanian deadlift_10.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
romanian deadlift,romanian deadlift_2.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
romanian deadlift,romanian deadlift_3.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
romanian deadlift,romanian deadlift_4.mp4,2,28,59,-9999,-9999,-9999,-9999
romanian deadlift,romanian deadlift_5.mp4,2,61,73,-9999,-9999,-9999,-9999
romanian deadlift,romanian deadlift_6.mp4,2,0,14,-9999,-9999,-9999,-9999
romanian deadlift,romanian deadlift_7.mp4,2,5,-1,-9999,-9999,-9999,-9999
romanian deadlift,romanian deadlift_8.mp4,2,7,27,-9999,-9999,-9999,-9999
romanian deadlift,romanian deadlift_9.mp4,2,16,-1,-9999,-9999,-9999,-9999
russian twist,russian twist_0.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
russian twist,russian twist_1.mp4,2,0,9,-9999,-9999,-9999,-9999
russian twist,russian twist_10.mp4,2,2,10,-9999,-9999,-9999,-9999
russian twist,russian twist_2.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
russian twist,russian twist_3.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
russian twist,russian twist_4.mp4,2,6,31,-9999,-9999,-9999,-9999
russian twist,russian twist_5.mp4,2,3,-1,-9999,-9999,-9999,-9999
russian twist,russian twist_6.mp4,2,0,10,-9999,-9999,-9999,-9999
russian twist,russian twist_7.mp4,2,2,22,-9999,-9999,-9999,-9999
russian twist,russian twist_8.mp4,2,0,9,-9999,-9999,-9999,-9999
russian twist,russian twist_9.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
shoulder press,shoulder press_0.mp4,2,0,9,-9999,-9999,-9999,-9999
shoulder press,shoulder press_1.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
shoulder press,shoulder press_2.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
shoulder press,shoulder press_3.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
shoulder press,shoulder press_4.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
shoulder press,shoulder press_5.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
shoulder press,shoulder press_6.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
shoulder press,shoulder press_7.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
shoulder press,shoulder press_8.mp4,2,3,-1,-9999,-9999,-9999,-9999
shoulder press,shoulder press_9.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
squat,squat_0.mp4,1,-9999,-9999,-9999,-9999,-9999,-9999
squat,squat_1.mp4,1,-9999,-9999,-9999,-9999,-9999,-9999
squat,squat_10.mp4,1,-9999,-9999,-9999,-9999,-9999,-9999
squat,squat_11.mp4,2,27,64,-9999,-9999,-9999,-9999
squat,squat_12.mp4,2,12,37,-9999,-9999,-9999,-9999
squat,squat_13.mp4,2,9,29,-9999,-9999,-9999,-9999
squat,squat_14.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
squat,squat_3.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
squat,squat_4.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
squat,squat_5.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
squat,squat_6.mp4,2,18,50,-9999,-9999,-9999,-9999
squat,squat_7.mp4,2,20,42,-9999,-9999,-9999,-9999
squat,squat_8.mp4,2,16,35,-9999,-9999,-9999,-9999
squat,squat_9.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
t bar row,t bar row_0.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
t bar row,t bar row_1.mp4,2,10,22,-9999,-9999,-9999,-9999
t bar row,t bar row_10.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
t bar row,t bar row_11.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
t bar row,t bar row_12.mp4,2,2,6,-9999,-9999,-9999,-9999
t bar row,t bar row_13.mp4,2,7,43,-9999,-9999,-9999,-9999
t bar row,t bar row_14.mp4,2,0,10,-9999,-9999,-9999,-9999
t bar row,t bar row_15.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
t bar row,t bar row_16.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
t bar row,t bar row_17.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
t bar row,t bar row_18.mp4,2,3,-1,-9999,-9999,-9999,-9999
t bar row,t bar row_19.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
t bar row,t bar row_2.mp4,2,0,19,-9999,-9999,-9999,-9999
t bar row,t bar row_20.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
t bar row,t bar row_21.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
t bar row,t bar row_22.mp4,2,24,40,-9999,-9999,-9999,-9999
t bar row,t bar row_23.mp4,1,-9999,-9999,-9999,-9999,-9999,-9999
t bar row,t bar row_3.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
t bar row,t bar row_4.mp4,2,2,14,-9999,-9999,-9999,-9999
t bar row,t bar row_5.mp4,2,15,31,-9999,-9999,-9999,-9999
t bar row,t bar row_7.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
t bar row,t bar row_8.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
t bar row,t bar row_9.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
tricep dips,tricep dips_0.mp4,2,0,11,-9999,-9999,-9999,-9999
tricep dips,tricep dips_1.mp4,2,0,11,-9999,-9999,-9999,-9999
tricep dips,tricep dips_10.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
tricep dips,tricep dips_11.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
tricep dips,tricep dips_12.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
tricep dips,tricep dips_13.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
tricep dips,tricep dips_2.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
tricep dips,tricep dips_3.mp4,2,19,31,-9999,-9999,-9999,-9999
tricep dips,tricep dips_4.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
tricep dips,tricep dips_5.mp4,2,18,29,0,5,-9999,-9999
tricep dips,tricep dips_6.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
tricep dips,tricep dips_7.mp4,2,0,20,-9999,-9999,-9999,-9999
tricep dips,tricep dips_8.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
tricep dips,tricep dips_9.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
tricep Pushdown,tricep Pushdown_0.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
tricep Pushdown,tricep Pushdown_1.mp4,2,0,11,-9999,-9999,-9999,-9999
tricep Pushdown,tricep Pushdown_10.mp4,2,0,8,-9999,-9999,-9999,-9999
tricep Pushdown,tricep Pushdown_11.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
tricep Pushdown,tricep Pushdown_12.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
tricep Pushdown,tricep Pushdown_2.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
tricep Pushdown,tricep Pushdown_3.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
tricep Pushdown,tricep Pushdown_4.mp4,2,0,8,-9999,-9999,-9999,-9999
tricep Pushdown,tricep Pushdown_5.mp4,1,-9999,-9999,-9999,-9999,-9999,-9999
tricep Pushdown,tricep Pushdown_6.mp4,0,-9999,-9999,-9999,-9999,-9999,-9999
tricep Pushdown,tricep Pushdown_7.mp4,2,0,10,-9999,-9999,-9999,-9999
tricep Pushdown,tricep Pushdown_8.mp4,2,0,16,-9999,-9999,-9999,-9999
tricep Pushdown,tricep Pushdown_9.mp4,2,0,7,-9999,-9999,-9999,-9999
